MN      Equipment ID     Termination ID	Te	rmination Interfa	ceNo  Circuit number	CIC	Trunk group number	Trunk group name	
22      172.16.1.5:2944  A66	1		226	2	2	SI3000	
22      172.16.1.5:2944  A67	1		227	3	2	SI3000	
22      172.16.1.5:2944  A68	1		228	4	2	SI3000	
22      172.16.1.5:2944  A10240	1		1088	32	14	Mango	
22      172.16.1.5:2944  A10241	1		1089	33	14	Mango	
22      172.16.1.5:2944  A10242	1		1090	34	14	Mango	
22      172.16.1.5:2944  A10243	1		1091	35	14	Mango	
22      172.16.1.5:2944  A10244	1		1092	36	14	Mango	
22      172.16.1.5:2944  A10245	1		1093	37	14	Mango	
22      172.16.1.5:2944  A10246	1		1094	38	14	Mango	
22      172.16.1.5:2944  A10247	1		1095	39	14	Mango	
22      172.16.1.5:2944  A10248	1		1096	40	14	Mango	
22      172.16.1.5:2944  A10249	1		1097	41	14	Mango	
22      172.16.1.5:2944  A10250	1		1098	42	14	Mango	
22      172.16.1.5:2944  A10251	1		1099	43	14	Mango	
22      172.16.1.5:2944  A10252	1		1100	44	14	Mango	
22      172.16.1.5:2944  A10253	1		1101	45	14	Mango	
22      172.16.1.5:2944  A10254	1		1102	46	14	Mango	
22      172.16.1.5:2944  A10255	1		1103	47	14	Mango	
22      172.16.1.5:2944  A10256	1		1104	48	14	Mango	
22      172.16.1.5:2944  A10257	1		1105	49	14	Mango	
22      172.16.1.5:2944  A10258	1		1106	50	14	Mango	
22      172.16.1.5:2944  A10259	1		1107	51	14	Mango	
22      172.16.1.5:2944  A10260	1		1108	52	14	Mango	
22      172.16.1.5:2944  A10261	1		1109	53	14	Mango	
22      172.16.1.5:2944  A10262	1		1110	54	14	Mango	
22      172.16.1.5:2944  A10263	1		1111	55	14	Mango	
22      172.16.1.5:2944  A10264	1		1112	56	14	Mango	
22      172.16.1.5:2944  A10265	1		1113	57	14	Mango	
22      172.16.1.5:2944  A10266	1		1114	58	14	Mango	
22      172.16.1.5:2944  A10267	1		1115	59	14	Mango	
22      172.16.1.5:2944  A10268	1		1116	60	14	Mango	
22      172.16.1.5:2944  A10269	1		1117	61	14	Mango	
22      172.16.1.5:2944  A10270	1		1118	62	14	Mango	
22      172.16.1.5:2944  A10271	1		1119	63	14	Mango	
22      172.16.1.5:2944  A10272	1		576	0	22	Mauriz	
22      172.16.1.5:2944  A10273	1		577	0	22	Mauriz	
22      172.16.1.5:2944  A10274	1		578	0	22	Mauriz	
22      172.16.1.5:2944  A10275	1		579	0	22	Mauriz	
22      172.16.1.5:2944  A10276	1		580	0	22	Mauriz	
22      172.16.1.5:2944  A10277	1		581	0	22	Mauriz	
22      172.16.1.5:2944  A10278	1		582	0	22	Mauriz	
22      172.16.1.5:2944  A10279	1		583	0	22	Mauriz	
22      172.16.1.5:2944  A10280	1		584	0	22	Mauriz	
22      172.16.1.5:2944  A10281	1		585	0	22	Mauriz	
22      172.16.1.5:2944  A10282	1		586	0	22	Mauriz	
22      172.16.1.5:2944  A69	1		229	5	2	SI3000	
22      172.16.1.5:2944  A10304	1		704	0	11	TvoiTelecom	
22      172.16.1.5:2944  A10305	1		705	1	11	TvoiTelecom	
22      172.16.1.5:2944  A10306	1		706	2	11	TvoiTelecom	
